Ctrl_rep1	Ctrl_rep2	METTL3_KD_rep1	METTL3_KD_rep2
C1orf141	0	0	1	0
PKP1	0	0	0	0
RERE	3561	3313	3993	3900
CSMD2	1	1	1	0
HIVEP3	237	232	302	277
SLC44A5	889	856	563	613
TTLL7	726	666	646	592
GLMN	2754	2582	2041	2202
MAN1A2	4297	4350	3950	3592
ANXA9	127	108	59	87
MPZL1	9391	9479	6086	6220
RFWD2	3363	3378	3326	3579
C1orf21	2442	2399	2373	2443
LINC01032	1	1	0	0
LOC101930114	1	1	0	0
HSD11B1	0	0	0	0
SDCCAG8	917	909	766	822
AGRN	1677	1442	1197	1038
PRKCZ	1623	1743	1536	1560
PRDM16	768	718	585	537
ACOT7	6098	6154	5217	5020
CAMTA1	3159	3109	2052	2040
PEX14	1931	1866	1793	1882
DISP3	21	33	12	5
DHRS3	460	451	310	300
KAZN	601	581	877	986
PLEKHM2	3732	3684	2014	2103
ACTL8	21	34	45	56
ALDH4A1	1999	2157	1166	1117
PLA2G2E	0	0	0	0
EIF4G3	11758	10818	7467	7986
KDM1A	16637	17124	8996	9644
WDTC1	5496	6005	4965	5106
EPHA10	163	163	121	109
TRIT1	1209	1148	1118	1247
ZSWIM5	1307	1270	1143	1222
PIK3R3	5086	5294	5658	5733
LOC101929626	4	9	9	8
PDZK1IP1	0	0	0	0
SLC5A9	1	2	0	1
AGBL4	0	1	2	0
EPS15	3501	3379	3711	3866
ZCCHC11	4805	4302	3881	4181
DAB1	1	5	2	8
LOC101926964	0	0	0	1
PATJ	1528	1423	1381	1434
ROR1	785	745	667	678
JAK1	8881	9055	6539	6934
PDE4B	49	45	34	37
GNG12-AS1	49	33	31	31
WLS	12518	13260	8796	9056
FPGT-TNNI3K	0	0	0	0
TNNI3K	0	0	0	0
ST6GALNAC3	432	412	377	344
ZZZ3	7188	7012	3764	3856
IFI44L	23	19	21	15
ADGRL2	6198	6125	7902	7819
MCOLN2	856	844	645	700
COL24A1	96	85	34	40
HS2ST1	6107	5842	4939	4958
CCDC18-AS1	171	155	151	173
DPYD	6	14	6	5
LINC01397	4	5	1	1
CEPT1	3296	3339	2344	2349
ATP1A1	56287	61100	50371	52580
RNF115	2172	2151	1605	1626
HYDIN2	0	0	0	0
PDE4DIP	4228	4308	3505	3813
OTUD7B	2918	2962	2727	2859
NUP210L	6	4	4	6
MUC1	36	25	42	35
PMF1	2295	2383	1650	1665
PMF1-BGLAP	0	0	0	2
UHMK1	10463	10820	8488	8243
PBX1	4387	4191	3267	3277
ALDH9A1	10296	10516	10344	10906
SCYL3	1035	1005	1094	1147
DNM3	386	389	314	294
TNN	3	3	1	0
BRINP2	2	4	0	2
RASAL2	2157	2093	2095	2171
SOAT1	7193	7593	5937	5901
ACBD6	3703	3749	3190	3234
RGSL1	0	0	0	0
SMG7	10490	10891	10942	11192
LINC01350	0	0	0	0
ASPM	6869	6082	5451	5591
NEK7	2934	2605	338	366
PPP1R12B	1188	1058	995	1032
PIK3C2B	1152	1079	655	715
CDK18	436	401	478	452
RASSF5	699	704	1088	1167
CR1	0	0	0	0
KCNH1	3	2	9	15
LPGAT1	7789	7923	6205	5947
FLVCR1	1927	1751	3174	3069
PROX1-AS1	18	29	24	21
USH2A	7	6	5	5
ESRRG	281	245	138	162
LYPLAL1-AS1	20	17	38	36
RAB3GAP2	5634	5662	5387	5537
SUSD4	136	120	161	164
WDR26	12540	12058	10431	10478
URB2	12802	13470	8939	8987
COG2	6941	6643	4387	4612
TSNAX-DISC1	1	0	0	0
DISC1	2	2	2	2
FMN2	754	641	888	817
RGS7	172	158	136	150
PLD5	3	3	7	14
KIF26B	185	166	181	167
SMYD3	1417	1445	1180	1195
LOC100130417	355	338	171	170
TTLL10	0	0	0	0
PUSL1	2139	2120	1665	1591
VWA1	484	473	653	576
SSU72	3364	3216	7624	7726
CDK11A	573	522	414	431
GNB1	24378	24979	18848	19760
CFAP74	10	15	19	21
MORN1	522	468	265	257
PLCH2	5	5	3	0
MMEL1	3	1	3	2
TTC34	1	2	0	1
MEGF6	45	26	53	52
TP73	1016	940	1184	1054
AJAP1	0	0	0	0
NPHP4	717	636	318	348
KCNAB2	239	276	449	421
CHD5	17	18	15	14
NOL9	1581	1279	1415	1431
DNAJC11	5377	5443	3780	4245
SLC2A5	0	1	10	20
MIR34AHG	72	42	113	96
SPSB1	541	510	537	590
SLC25A33	2162	2285	1920	2071
PIK3CD	380	365	513	571
NMNAT1	592	519	375	403
UBE4B	9165	9348	8419	8671
KIF1B	7772	7685	7760	7449
CASZ1	430	401	339	305
MTOR	12956	13493	7405	7950
FBXO6	9	5	7	11
MTHFR	1794	1752	1060	1104
TNFRSF1B	5	16	18	29
VPS13D	2976	2615	2628	2640
PRAMEF19	0	0	0	0
LRRC38	1	0	2	1
PRDM2	2928	2776	2012	2100
TMEM51	522	532	422	442
FHAD1	17	17	57	58
CELA2A	0	0	0	1
SPEN	20552	16918	23445	24083
FBXO42	3276	3331	3530	3617
SZRD1	18301	18847	19237	19438
MST1P2	16	6	8	8
SDHB	10575	10793	6587	7011
RCC2	26637	27008	18701	20154
ARHGEF10L	256	279	366	388
IGSF21	8	3	2	4
KLHDC7A	2	2	16	11
PAX7	23	23	34	29
UBR4	7943	7190	7999	7764
AKR7L	26	21	6	12
CAPZB	12026	12314	10201	10884
TMCO4	263	304	303	297
UBXN10-AS1	0	0	0	0
VWA5B1	0	1	3	2
KIF17	453	425	381	355
ECE1	2890	2858	3472	3493
RAP1GAP	434	464	607	616
USP48	6278	5870	5685	5992
HSPG2	338	314	149	128
EPHB2	1423	1497	1408	1335
HNRNPR	28108	26957	5618	6297
ASAP3	573	498	239	278
FUCA1	2472	2635	1736	1847
STPG1	1257	1222	1700	1722
RCAN3	706	700	659	597
CLIC4	14060	14193	9877	10004
RUNX3	575	553	565	578
RSRP1	447	330	319	300
RHD	0	0	0	1
LDLRAP1	3015	3069	3155	3300
MAN1C1	231	261	300	308
MTFR1L	2889	3153	2183	2270
LOC646471	61	42	27	39
AIM1L	107	107	258	315
HMGN2	57743	57755	21166	22543
ARID1A	6614	6154	5677	5743
TRNP1	486	476	557	581
SLC9A1	1915	1945	1770	1774
GPR3	59	68	84	85
STX12	5774	5860	5674	5782
EYA3	6029	6053	4240	4294
PTAFR	122	119	60	69
PHACTR4	5046	4501	3783	4144
TRNAU1AP	2504	2536	1973	2101
GMEB1	1201	1266	953	1070
OPRD1	3	4	7	6
EPB41	13691	12940	12598	13154
MECR	3051	3047	2582	2688
LOC101929406	0	0	0	0
PUM1	12636	12630	8642	8924
NKAIN1	476	493	474	520
ZCCHC17	6426	6356	4968	5109
KPNA6	9920	9720	12109	12073
BSDC1	8032	8682	8785	9515
ZBTB8OS	1842	1818	979	1004
KIAA1522	3529	3540	5058	5036
TMEM54	739	801	1062	1081
AK2	33835	33711	17207	18424
TRIM62	832	740	879	774
ZNF362	1606	1534	1720	1720
C1orf94	0	0	0	0
ZMYM6	1429	1268	1109	1171
ZMYM4	9068	8800	7392	7383
KIAA0319L	5464	5634	6507	6862
AGO1	5401	5670	1555	1439
AGO3	728	682	556	561
MAP7D1	4132	3835	2534	2699
SH3D21	150	118	369	373
OSCP1	632	668	702	675
GRIK3	2	3	0	1
RSPO1	0	0	2	0
INPP5B	1623	1470	767	815
RHBDL2	20	23	20	30
MACF1	5771	5181	5699	6268
RLF	2614	2395	2839	3023
RIMS3	907	989	1510	1499
NFYC	3755	3645	2598	2566
SLFNL1-AS1	43	29	13	22
SCMH1	2464	2477	2092	2319
FOXJ3	4987	4858	4349	4184
PPCS	1200	1164	1287	1332
CCDC30	14	23	11	16
LOC339539	1	0	0	1
CFAP57	19	20	18	30
MED8	3297	3455	3005	3101
ST3GAL3	604	613	420	447
ERI3	6504	6924	6143	6227
RNF220	5562	5674	4531	4779
C1orf228	6	4	4	3
PTCH2	80	72	56	64
EIF2B3	4965	5113	2766	3107
TESK2	691	729	803	875
NASP	24150	22978	13221	14754
IPP	639	573	587	599
MAST2	3075	3094	2220	2396
RAD54L	3544	3363	2007	2186
FAAH	43	42	24	25
ATPAF1	10160	10682	7585	7738
TRABD2B	127	116	65	76
SKINT1L	0	0	0	0
SPATA6	268	278	288	293
BEND5	4	3	3	9
AGBL4-IT1	0	0	0	0
ELAVL4	0	0	0	0
FAF1	6563	6516	4682	4796
C1orf185	0	1	0	1
RNF11	4764	5260	4536	4807
OSBPL9	6271	6321	5918	5980
TXNDC12	7142	7602	5944	5883
ZFYVE9	2660	2790	1360	1463
COA7	3743	3761	2473	2596
ZYG11B	4520	4463	3768	3843
SCP2	4585	4513	4687	5189
PODN	0	1	0	0
C1orf123	2555	2629	1154	1175
GLIS1	21	17	24	15
YIPF1	1671	1871	1805	1875
SSBP3	4684	4463	3940	4315
MROH7	0	0	0	0
MROH7-TTC4	0	0	0	0
TTC22	0	0	0	1
PCSK9	4	13	5	10
USP24	10810	10157	7032	7296
C1orf168	5	10	2	2
C8A	0	0	0	0
LINC01135	1	2	0	4
FGGY	291	306	168	208
CYP2J2	122	117	92	89
C1orf87	0	0	0	0
NFIA-AS2	0	0	0	0
NFIA	1128	904	669	661
KANK4	2	1	2	4
DOCK7	8299	8101	5601	5603
LINC00466	0	1	2	5
EFCAB7	988	989	1011	1131
UBE2U	0	1	0	0
CACHD1	3343	3248	3654	3565
RAVER2	5060	4879	1464	1474
DNAJC6	1551	1597	2179	2185
LEPR	1253	1206	294	307
SGIP1	3	6	13	8
WDR78	66	68	124	146
MIER1	5370	5281	4616	4731
IL23R	0	0	0	3
IL12RB2	81	87	89	119
GNG12	6973	7148	4410	4352
LRRC7	0	1	1	0
LOC101927244	0	0	0	0
PTGER3	6	3	3	1
ZRANB2-AS2	13	20	26	23
NEGR1	0	3	0	1
NEGR1-IT1	0	0	0	0
LRRIQ3	279	308	302	338
ERICH3	0	0	0	0
ERICH3-AS1	0	0	0	0
CRYZ	2377	2406	2433	2558
ACADM	8206	8120	9882	10496
MSH4	12	6	6	1
ST6GALNAC5	46	44	20	15
PIGK	10018	10479	8156	8375
AK5	69	68	91	88
USP33	7949	7724	7951	8023
FAM73A	1911	1885	2107	2143
DNAJB4	1689	1775	502	558
GIPC2	5	3	5	4
MGC27382	2	0	0	2
PTGFR	26	38	23	22
ADGRL4	0	0	0	1
LOC101927412	0	0	0	0
LOC101927434	0	0	0	0
LOC101927587	1	0	5	0
PRKACB	3000	3181	1702	1781
DNASE2B	1	0	0	0
SPATA1	12	11	3	3
SSX2IP	5980	6137	3923	4055
WDR63	167	187	396	389
SYDE2	700	655	487	492
DDAH1	3841	3715	3942	4108
ODF2L	1323	1215	891	1015
LOC105378828	34	26	13	19
CLCA3P	0	0	0	0
SEP15	16303	16502	13444	14116
LINC01140	37	51	26	29
PKN2-AS1	18	13	14	28
PKN2	9301	8852	1620	1770
GTF2B	2583	2599	2843	3082
GBP5	0	0	0	0
LRRC8C	2126	2169	2907	2831
LRRC8D	1959	1967	2053	2137
LOC105378853	216	212	166	199
ZNF644	5353	5157	3186	3383
HFM1	72	47	34	32
TGFBR3	3692	3999	3642	3645
BRDT	0	0	1	0
BTBD8	35	38	27	40
EVI5	2119	2000	500	469
FAM69A	1558	1642	1112	1189
CCDC18	1058	875	723	857
FNBP1L	2497	2569	1920	2101
BCAR3	384	404	448	475
ABCA4	0	3	3	3
ABCD3	9760	9634	7791	8084
LINC01057	25	24	19	30
ALG14	1414	1565	1200	1385
TMEM56	1617	1644	715	732
TMEM56-RWDD3	17	15	16	13
LOC101928241	0	0	0	0
PTBP2	2318	2059	1636	1708
DPYD-AS1	0	0	0	0
MIR137HG	0	0	0	0
SNX7	2521	2579	2339	2513
PLPPR5	18	12	33	41
LOC100129620	0	0	0	0
LOC101928270	0	0	0	0
FRRS1	661	644	454	449
AGL	7779	7831	4427	4417
SLC35A3	1175	1148	1406	1430
TRMT13	1854	1841	1119	1168
RTCA	4092	3991	625	650
CDC14A	651	597	163	165
SLC30A7	2606	2424	1183	1230
